IPE
----------------------------------------------------------------------
            IPE               h               b              tw              tf               r              h1               P               A              Iy            wely              iy              sy              Iz            welz              iz              It            wply            wplz              Iw
             80              80              80            12.0            10.0            5.00             NaN           14.10           17.90          102.00            2.41            2.39
             90              90              90             9.0            11.0            5.50             NaN           12.20           15.50          116.00            2.54            2.73
             90              90              90            10.0            11.0            5.50             NaN           13.40           17.10          127.00            2.58            2.72
             90              90              90            11.0            11.0            5.50             NaN           14.70           18.70          138.00            2.62            2.72
             90              90              90            12.0            11.0            5.50             NaN           15.90           20.30          148.00            2.66            2.70
             90              90              90            13.0            11.0            5.50             NaN           17.10           21.80          158.00            2.70            2.69
            100             100             100            10.0            12.0            6.00             NaN           15.10           19.20          177.00            2.82            3.04
            100             100             100            12.0            12.0            6.00             NaN           17.80           22.70          207.00            2.90            3.02
            100             100             100            14.0            12.0            6.00             NaN           20.60           26.20          235.00            2.98            3.01
            100             100             100            15.0            12.0            6.00             NaN           21.90           27.90          249.00            3.02            2.96
            110             110             110            10.0            12.0            6.00             NaN           16.60           21.20          239.00            3.07            3.36
            110             110             110            12.0            12.0            6.00             NaN           19.70           25.10          280.00            3.15            3.34
            120             120             120            11.0            13.0            6.50             NaN           19.90           25.40          341.00            3.36            3.66
            120             120             120            12.0            13.0            6.50             NaN           21.60           27.50          368.00            3.40            3.65
            120             120             120            13.0            13.0            6.50             NaN           23.30           29.70          394.00            3.44            3.64
            120             120             120            14.0            13.0            6.50             NaN           25.00           31.80          420.00            3.47            3.63
            120             120             120            15.0            13.0            6.50             NaN           26.60           33.90          445.00            3.51            3.62
            130             130             130            12.0            14.0            7.00             NaN           23.60           30.00          472.00            3.64            3.97
            130             130             130            14.0            14.0            7.00             NaN           27.20           34.70          540.00            3.72            3.94
            140             140             140            13.0            15.0            7.50             NaN           27.50           35.00          638.00            3.92            4.27
            140             140             140            15.0            15.0            7.50             NaN           31.40           40.00          723.00            4.00            4.25
            140             140             140            17.0            15.0            7.50             NaN           35.30           45.00          805.00            4.08            4.23
            150             150             150            14.0            16.0            8.00             NaN           31.60           40.30          845.00            4.21            4.58
            150             150             150            15.0            16.0            8.00             NaN           33.80           43.00          898.00            4.25            4.57
            150             150             150            16.0            16.0            8.00             NaN           35.90           45.70          949.00            4.29            4.56
            150             150             150            18.0            16.0            8.00             NaN           40.10           51.00         1050.00            4.37            4.54
            160             160             160            15.0            17.0            8.50             NaN           36.20           46.10         1100.00            4.49            4.88
            160             160             160            17.0            17.0            8.50             NaN           40.70           51.80         1230.00            4.57            4.86
            180             180             180            15.0            18.0            9.00             NaN           40.90           52.10         1590.00            4.98            5.52
            180             180             180            18.0            18.0            9.00             NaN           48.60           61.90         1870.00            5.10            5.49
            180             180             180            20.0            18.0            9.00             NaN           53.70           68.30         2040.00            5.18            5.47
            200             200             200            20.0            18.0            9.00             NaN           59.90           76.30         2850.00            5.68            6.11
            200             200             200            24.0            18.0            9.00             NaN           71.10           90.60         3330.00            5.84            6.06
            200             200             200            28.0            18.0            9.00             NaN           82.00          104.50         3784.00            5.99            6.02
            200             200             200            30.0            18.0            9.00             NaN           87.60          111.40         4002.00            6.06            6.00

steel_bars
----------------------------------------------------------------------
 nombre_des_armatures              T6              T8             T10             T12             T14             T16             T20             T25             T32             T40
                    1          0.2826          0.5024           0.785          1.1304          1.5386          2.0096            3.14         4.90625          8.0384           12.56
                    2          0.5652          1.0048           1.570          2.2608          3.0772          4.0192            6.28         9.81250         16.0768           25.12
                    3          0.8478          1.5072           2.355          3.3912          4.6158          6.0288            9.42        14.71875         24.1152           37.68
                    4          1.1304          2.0096           3.140          4.5216          6.1544          8.0384           12.56        19.62500         32.1536           50.24
                    5          1.4130          2.5120           3.925          5.6520          7.6930         10.0480           15.70        24.53125         40.1920           62.80
                    6          1.6956          3.0144           4.710          6.7824          9.2316         12.0576           18.84        29.43750         48.2304           75.36
                    7          1.9782          3.5168           5.495          7.9128         10.7702         14.0672           21.98        34.34375         56.2688           87.92
